TYPE,PROVINCIA,03/03,04/03,05/03,06/03,07/03,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03,19/03,20/03,21/03,22/03,23/03,24/03,25/03,26/03,27/03,28/03,29/03,30/03,31/03,01/04,02/04,03/04,04/04,05/04,06/04,07/04,08/04,09/04,10/04,11/04,12/04,13/04,14/04,15/04,16/04,17/04,18/04,19/04,20/04,21/04,22/04,23/04,24/04,25/04,26/04,27/04,28/04,29/04,30/04,01/05,02/05,03/05,03/05
ACTIVOS,BUENOS AIRES,0,0,1,2,2,3,3,4,5,9,10,11,12,13,15,20,35,44,57,65,70,99,129,139,172,181,196,230,247,255,289,308,333,365,375,405,421,442,460,494,517,545,609,670,695,727,756,803,845,901,957,1037,1094,1186,1240,1289,1331,1432,1496,1527,1570,1605,1636
ACTIVOS,CABA,1,1,1,5,5,7,8,9,10,13,12,19,25,30,34,43,51,60,67,79,77,107,125,140,169,184,197,231,250,259,283,311,345,376,389,411,427,446,456,499,506,515,535,561,573,586,599,614,635,665,702,738,813,864,895,925,973,1004,1047,1072,1124,1171,1210
ACTIVOS,CATAMARCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTIVOS,CHACO,0,0,0,0,0,0,2,2,2,4,3,4,6,9,10,11,13,14,19,26,30,38,49,51,52,57,61,73,75,87,89,96,104,104,108,112,127,132,137,137,138,141,171,178,188,210,234,239,243,248,255,265,271,278,281,290,290,293,296,308,316,320,324
ACTIVOS,CHUBUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4
ACTIVOS,CORDOBA,0,0,0,1,1,1,1,1,1,2,2,3,3,3,5,6,9,14,18,26,28,35,50,52,53,54,72,80,93,99,115,129,132,136,143,147,148,153,166,198,202,205,216,221,234,240,242,252,250,250,254,256,257,257,260,259,260,261,263,276,287,286,290
ACTIVOS,CORRIENTES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,31,31,31,31,31,31,34,34,34,35,39,40,46,46,47,47,48,49,49,49,49
ACTIVOS,ENTRE RIOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,6,6,10,10,10,13,13,14,16,18,18,19,19,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,25,25,27,27
ACTIVOS,FORMOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTIVOS,JUJUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
